Place Type,Location,"Lat, Long",Weight
City,Edinburgh,"55.95348443948662, -3.173412567646887",6
Town,Elgin,"57.64962246204654, -3.3189965045321483",1
Village,Fyvie,"57.429756094007566, -2.3890690376370647",7
City,Aberdeen,"57.15024660347818, -2.0927580626543745",2
Castle,Castle Grant,"56.675512, -5.133898",2
Castle,Dublin Castle,"53.34306214869662, -6.2665969342731165",1
County,"Wellbrook, Tyrone","54.654711356797684, -6.83860530976432",1
Military Camp,Lochaber,"57, -5",2
Town,Inverary,"56.23200873124704, -5.070735199564548",1
Town,Blair Atholl,"56.76855937284193, -3.8415396843397134",2
Hamlet,Brae of Rannoch,"56.6774, -4.4377",3
Village,Cardross,"55.96378326635393, -4.653754475584676",1
Castle,Duart,"56.456083, -5.654944",7
City,Perth,"56.39425392552795, -3.430372151470939",2
Town,Invergary,"57.07057330375815, -4.787820814771851",4
Military Fort,Inverlochy,"56.83303814515296, -5.08589804365449",2
City,"Paris, France","48.85611481759829, 2.349090747966006",1
Village,Calgary,"56.58250886995255, -6.271071568649524",1
City,London,"51.50545220904535, -0.1222104034141658",4
Village,Monymusk,"57.22518774323831, -2.5219782332350653",1
Castle,Dunollie,"56.42669297101938, -5.481725453651889",2
Village,Kilmuir,"57.43130460659801, -6.5704741915850375",1
Village,Aberfoyle,"56.17875675679867, -4.382191004360227",1
City,Carlisle,"54.89225468473536, -2.936770302649061",1
Village,Bornaskitaig,"57.65646247357725, -6.3928673770875895",1
Town,Huntly,"57.44588623438019, -2.7875503919283093",1
Jail,Edinburgh Tollbooth,"55.9494970536981, -3.1911885610834214",1
Castle,Edinburgh Castle,"55.948714822194646, -3.199344874576294",1
Residence,"Tillyshoyle House, Strathdon","57.199425797722725, -3.072500107172612",1
Residence,Loch Eil,"56.85, -5.233333",1
Village,Brae of Mar,"57.006, -3.399",1
Island,Mull,"56.44410566792622, -5.769967767994963",1
City,"Belfast, Ireland","54.59172590931271, -5.9295174408014955",1
Riverlands,Moidart,"56.82, -5.696",1
Town,Thurso,"58.59347753607656, -3.521121982354907",1
City,Dumfries,"55.070247710350344, -3.606007058686082",1
City,"Colchester, Essex","51.89682278287011, 0.8995074926136745",1
Island,Skye,"57.27083571834285, -6.195797912303637",1
City,"Rome, Italy","41.91429614153624, 12.705927952639781",1
Residence,"Saint-Germaine, France","48.89811791523331, 2.0966717980046585",1